category,model,round_date,actual,forecast
Category D,arima,2025-12-01,8289.0,8795
Category D,arima,2025-12-15,8081.0,8457
Category D,arima,2026-01-01,8689.0,8210
Category D,arima,2026-01-15,8860.0,8548
Category D,arima,2026-02-01,8289.0,8752
Category D,arima,2026-02-15,7989.0,8427
Category D,arima,2026-03-01,8602.0,8138
Category D,arima,2026-03-15,9589.0,8468
Category D,arima,2026-04-01,10000.0,9224
Category D,arima,2026-04-15,9290.0,9725
Category D,arima,2026-05-01,9452.0,9389
Category D,arima,2026-05-15,9689.0,9442
Category D,arima,2026-06-01,10000.0,9613
Category D,arima,2026-06-15,9989.0,9871
Category D,arima,2026-07-01,10201.0,9938
Category D,arima,2026-07-15,10202.0,10114
Category D,arima,2026-08-01,10503.0,10166
Category D,arima,2026-08-15,11301.0,10395
Category D,arima,2026-09-01,12556.0,11012
Category D,arima+quota,2025-09-15,9209.0,9070
Category D,arima+quota,2025-10-01,9810.0,9180
Category D,arima+quota,2025-10-15,9389.0,9584
Category D,arima+quota,2025-11-01,8600.0,9417
Category D,arima+quota,2025-11-15,8729.0,8872
Category D,arima+quota,2025-12-01,8289.0,8827
Category D,arima+quota,2025-12-15,8081.0,8496
Category D,arima+quota,2026-01-01,8689.0,8227
Category D,arima+quota,2026-01-15,8860.0,8577
Category D,arima+quota,2026-02-01,8289.0,8727
Category D,arima+quota,2026-02-15,7989.0,8420
Category D,arima+quota,2026-03-01,8602.0,8155
Category D,arima+quota,2026-03-15,9589.0,8477
Category D,arima+quota,2026-04-01,10000.0,9231
Category D,arima+quota,2026-04-15,9290.0,9607
Category D,arima+quota,2026-05-01,9452.0,9406
Category D,arima+quota,2026-05-15,9689.0,9443
Category D,arima+quota,2026-06-01,10000.0,9609
Category D,arima+quota,2026-06-15,9989.0,9841
Category D,arima+quota,2026-07-01,10201.0,9918
Category D,arima+quota,2026-07-15,10202.0,10011
Category D,arima+quota,2026-08-01,10503.0,10221
Category D,arima+quota,2026-08-15,11301.0,10415
Category D,arima+quota,2026-09-01,12556.0,10986
Category D,log+drift,2025-09-15,9209.0,9128
Category D,log+drift,2025-10-01,9810.0,9230
Category D,log+drift,2025-10-15,9389.0,9715
Category D,log+drift,2025-11-01,8600.0,9520
Category D,log+drift,2025-11-15,8729.0,8891
Category D,log+drift,2025-12-01,8289.0,8827
Category D,log+drift,2025-12-15,8081.0,8457
Category D,log+drift,2026-01-01,8689.0,8223
Category D,log+drift,2026-01-15,8860.0,8610
Category D,log+drift,2026-02-01,8289.0,8830
Category D,log+drift,2026-02-15,7989.0,8474
Category D,log+drift,2026-03-01,8602.0,8165
Category D,log+drift,2026-03-15,9589.0,8532
Category D,log+drift,2026-04-01,10000.0,9342
Category D,log+drift,2026-04-15,9290.0,9874
Category D,log+drift,2026-05-01,9452.0,9492
Category D,log+drift,2026-05-15,9689.0,9537
Category D,log+drift,2026-06-01,10000.0,9696
Category D,log+drift,2026-06-15,9989.0,9975
Category D,log+drift,2026-07-01,10201.0,10038
Category D,log+drift,2026-07-15,10202.0,10222
Category D,log+drift,2026-08-01,10503.0,10262
Category D,log+drift,2026-08-15,11301.0,10505
Category D,log+drift,2026-09-01,12556.0,11154
Category D,log+drift+quota,2025-09-15,9209.0,9149
Category D,log+drift+quota,2025-10-01,9810.0,9272
Category D,log+drift+quota,2025-10-15,9389.0,9714
Category D,log+drift+quota,2025-11-01,8600.0,9495
Category D,log+drift+quota,2025-11-15,8729.0,8901
Category D,log+drift+quota,2025-12-01,8289.0,8876
Category D,log+drift+quota,2025-12-15,8081.0,8495
Category D,log+drift+quota,2026-01-01,8689.0,8218
Category D,log+drift+quota,2026-01-15,8860.0,8647
Category D,log+drift+quota,2026-02-01,8289.0,8786
Category D,log+drift+quota,2026-02-15,7989.0,8473
Category D,log+drift+quota,2026-03-01,8602.0,8188
Category D,log+drift+quota,2026-03-15,9589.0,8548
Category D,log+drift+quota,2026-04-01,10000.0,9382
Category D,log+drift+quota,2026-04-15,9290.0,9716
Category D,log+drift+quota,2026-05-01,9452.0,9591
Category D,log+drift+quota,2026-05-15,9689.0,9580
Category D,log+drift+quota,2026-06-01,10000.0,9712
Category D,log+drift+quota,2026-06-15,9989.0,9947
Category D,log+drift+quota,2026-07-01,10201.0,10033
Category D,log+drift+quota,2026-07-15,10202.0,10055
Category D,log+drift+quota,2026-08-01,10503.0,10420
Category D,log+drift+quota,2026-08-15,11301.0,10582
Category D,log+drift+quota,2026-09-01,12556.0,11150
Category E,naive,2025-09-15,140502.0,127901
Category E,naive,2025-10-01,140009.0,140502
Category E,naive,2025-10-15,136000.0,140009
Category E,naive,2025-11-01,121010.0,136000
Category E,naive,2025-11-15,125001.0,121010
Category E,naive,2025-12-01,123000.0,125001
Category E,naive,2025-12-15,119000.0,123000
Category E,naive,2026-01-01,122000.0,119000
Category E,naive,2026-01-15,120891.0,122000
Category E,naive,2026-02-01,116000.0,120891
Category E,naive,2026-02-15,112890.0,116000
Category E,naive,2026-03-01,114890.0,112890
Category E,naive,2026-03-15,118119.0,114890
Category E,naive,2026-04-01,121001.0,118119
Category E,naive,2026-04-15,125002.0,121001
Category E,naive,2026-05-01,127700.0,125002
Category E,naive,2026-05-15,130000.0,127700
Category E,naive,2026-06-01,129000.0,130000
Category E,naive,2026-06-15,129002.0,129000
Category E,naive,2026-07-01,129801.0,129002
Category E,naive,2026-07-15,129971.0,129801
Category E,naive,2026-08-01,131000.0,129971
Category E,naive,2026-08-15,135000.0,131000
Category E,naive,2026-09-01,137890.0,135000
Category E,arima,2025-09-15,140502.0,127928
Category E,arima,2025-10-01,140009.0,142025
Category E,arima,2025-10-15,136000.0,138494
Category E,arima,2025-11-01,121010.0,134519
Category E,arima,2025-11-15,125001.0,117934
Category E,arima,2025-12-01,123000.0,126442
Category E,arima,2025-12-15,119000.0,122847
Category E,arima,2026-01-01,122000.0,119032
Category E,arima,2026-01-15,120891.0,123362
Category E,arima,2026-02-01,116000.0,121239
Category E,arima,2026-02-15,112890.0,115886
Category E,arima,2026-03-01,114890.0,113236
Category E,arima,2026-03-15,118119.0,115985
Category E,arima,2026-04-01,121001.0,119031
Category E,arima,2026-04-15,125002.0,121545
Category E,arima,2026-05-01,127700.0,125451
Category E,arima,2026-05-15,130000.0,127594
Category E,arima,2026-06-01,129000.0,129674
Category E,arima,2026-06-15,129002.0,128013
Category E,arima,2026-07-01,129801.0,128358
Category E,arima,2026-07-15,129971.0,129336
Category E,arima,2026-08-01,131000.0,129488
Category E,arima,2026-08-15,135000.0,130802
Category E,arima,2026-09-01,137890.0,135323
Category E,arima+quota,2025-09-15,140502.0,127847
Category E,arima+quota,2025-10-01,140009.0,141778
Category E,arima+quota,2025-10-15,136000.0,138559
Category E,arima+quota,2025-11-01,121010.0,134192
Category E,arima+quota,2025-11-15,125001.0,118021
Category E,arima+quota,2025-12-01,123000.0,125893
Category E,arima+quota,2025-12-15,119000.0,122974
Category E,arima+quota,2026-01-01,122000.0,118935
Category E,arima+quota,2026-01-15,120891.0,123017
Category E,arima+quota,2026-02-01,116000.0,121637
Category E,arima+quota,2026-02-15,112890.0,116220
Category E,arima+quota,2026-03-01,114890.0,113144
Category E,arima+quota,2026-03-15,118119.0,116001
Category E,arima+quota,2026-04-01,121001.0,119115
Category E,arima+quota,2026-04-15,125002.0,121678
Category E,arima+quota,2026-05-01,127700.0,125371
Category E,arima+quota,2026-05-15,130000.0,127664
Category E,arima+quota,2026-06-01,129000.0,129645
Category E,arima+quota,2026-06-15,129002.0,128049
Category E,arima+quota,2026-07-01,129801.0,128169
Category E,arima+quota,2026-07-15,129971.0,129467
Category E,arima+quota,2026-08-01,131000.0,129520
Category E,arima+quota,2026-08-15,135000.0,130736
Category E,arima+quota,2026-09-01,137890.0,134760
Category E,log+drift,2025-09-15,140502.0,128275
Category E,log+drift,2025-10-01,140009.0,144066
Category E,log+drift,2025-10-15,136000.0,137907
Category E,log+drift,2025-11-01,121010.0,134537
Category E,log+drift,2025-11-15,125001.0,117012
Category E,log+drift,2025-12-01,123000.0,128074
Category E,log+drift,2025-12-15,119000.0,122785
Category E,log+drift,2026-01-01,122000.0,118364
Category E,log+drift,2026-01-15,120891.0,124061
Category E,log+drift,2026-02-01,116000.0,120769
Category E,log+drift,2026-02-15,112890.0,115179
Category E,log+drift,2026-03-01,114890.0,113108
Category E,log+drift,2026-03-15,118119.0,116621
Category E,log+drift,2026-04-01,121001.0,119618
Category E,log+drift,2026-04-15,125002.0,122037
Category E,log+drift,2026-05-01,127700.0,126272
Category E,log+drift,2026-05-15,130000.0,128486
Category E,log+drift,2026-06-01,129000.0,130436
Category E,log+drift,2026-06-15,129002.0,128446
Category E,log+drift,2026-07-01,129801.0,129113
Category E,log+drift,2026-07-15,129971.0,130161
Category E,log+drift,2026-08-01,131000.0,130061
Category E,log+drift,2026-08-15,135000.0,131448
Category E,log+drift,2026-09-01,137890.0,136280
Category E,log+drift+quota,2025-09-15,140502.0,128505
Category E,log+drift+quota,2025-10-01,140009.0,143531
Category E,log+drift+quota,2025-10-15,136000.0,139047
Category E,log+drift+quota,2025-11-01,121010.0,133881
Category E,log+drift+quota,2025-11-15,125001.0,117622
Category E,log+drift+quota,2025-12-01,123000.0,126709
